fact_id,date,location_id,aqi_value,aqi_category,pm25,pm10,no2,so2,co,o3,temperature_c,humidity_pct,wind_speed_kmph,ed_visits_respiratory,hospital_admissions_respiratory,outpatient_visits_respiratory,mortality_count_respiratory,prescriptions_issued,exceedance_flag,,
3561,30/09/2023,4,75.1,Moderate,49.5,93.5,20.2,2.8,1.52,61,25.2,,13.7,36,11,90,1,133,0,,
573,26/07/2024,1,91.3,Moderate,59.5,100.5,25.8,8.4,1.22,37.8,34.9,78.8,17.7,117,35,268,2,422,0,,
3569,08/10/2023,4,101,Unhealthy for Sensitive Groups,,95.1,14.8,6.9,1.5,33.4,26.9,,14.2,37,11,85,1,132,0,,
1355,16/09/2023,2,89.5,Moderate,57.4,95.6,24.9,9.3,2.03,57.4,31.5,67.5,9.6,74,24,171,1,276,0,,
1147,20/02/2023,2,174.1,Unhealthy,102.3,155.7,36.9,13,2.81,68.2,25.8,42.2,16.6,135,41,307,3,489,1,,
896,14/06/2025,1,119.7,Unhealthy for Sensitive Groups,78.2,129.2,27.5,10.4,2.32,57.7,32.5,64.7,8.1,133,40,302,2,488,0,,
3518,18/08/2023,4,58.5,Moderate,37.3,63.2,12.9,4.6,1.13,43.2,31.8,75.2,14.3,24,7,55,0,88,0,,762
2939,16/01/2025,3,107.4,unhealthy for sensitive groups,68,125.9,29,9.2,2.43,46.8,14.9,39.6,1.9,52,16,118,1,195,0,,
2951,28/01/2025,3,107.1,Unhealthy for Sensitive Groups,65.5,106.6,15.5,12.2,2.03,59.1,18.6,28.6,9.1,53,17,120,1,199,0,,
162,11/06/2023,1,96.4,Moderate,60.5,98.5,17.5,3.1,0.78,22.7,34.2,77.1,15.2,124,38,283,2,453,0,,
891,09/06/2025,1,109.2,Unhealthy for Sensitive Groups,68.1,102.6,21.3,8.9,2.87,43.8,30.9,73.8,7.2,138,41,313,3,506,0,,
2377,04/07/2023,3,36.2,Good,24.6,37.3,6,1.5,0.85,44.3,32.8,84.3,11.5,27,8,67,1,105,0,,
3725,12/03/2024,4,164.2,Unhealthy,99.9,174.3,20.9,10.8,2.2,56.2,28.3,39,5.1,56,17,127,1,205,1,,
3999,11/12/2024,4,183.2,Unhealthy,111.6,180.4,44.6,10.3,3.25,45.9,13.6,32.5,5.5,55,17,125,1,197,1,,
2372,29/06/2023,3,55.2,Moderate,24.6,39.5,7.8,2.3,0.67,52.9,31.9,80.8,6.5,25,7,56,0,91,0,,
934,22/07/2025,1,116.7,Unhealthy for Sensitive Groups,70.2,131.4,34.7,5.7,1.46,53.9,32.9,77.6,,118,35,273,2,430,0,,
2812,11/09/2024,3,69, Moderate,36,58,15.2,8.8,1.11,26,25.7,66.7,13.6,32,10,75,1,122,0,,
2855,24/10/2024,3,77.5,Moderate,46.3,71.2,13.2,5.8,1.46,56.4,19.4,50.1,5.9,44,13,102,1,,0,,
379,14/01/2024,1,359.2,Hazardous,220.6,342.5,88.3,28.6,6,58.7,15.7,35.6,11.7,377,117,845,8,1347,1,,
3041,28/04/2025,3,80.3,Moderate,50.4,91.9,17.5,10.6,1.25,64.8,31.3,65.9,10.4,38,12,94,1,147,0,,
163,12/06/2023,1,131.6,Unhealthy for Sensitive Groups,78.3,128.3,28.7,14.8,2.52,34,37.9,77.7,7.5,117,35,266,2,424,0,,
3594,02/11/2023,4,134.4,Unhealthy for Sensitive Groups,,121.7,23.2,10.6,2.53,42.1,23.7,,7.5,42,12,91,1,149,0,,
2777,07/08/2024,3,52.1,Moderate,22.7,40.8,5.6,2.3,0.58,61.1,32.5,78.1,9.6,24,8,56,,95,0,,
4261,30/08/2025,4,73.8,Moderate,43.2,79.1,22.4,8.7,1.55,58.1,27.4,73.6,10.9,28,7,67,1,96,0,,
3635,13/12/2023,4,160.3,Unhealthy,98.5,149.6,23.7,13,2.16,50.9,20.3,40.8,13.6,52,16,120,1,192,1,,
1991,13/06/2025,2,62,Moderate,42.5,65.9,11.7,4.3,0.9,41.6,37,,10.3,61,19,135,1,222,0,,
1426,26/11/2023,2,163.2,Unhealthy,98.8,178.5,25.9,9.4,3.41,55.9,22,23.5,18.3,116,37,270,2,431,1,,
